country,continent,date,new_vaccinations,total_vaccinations,people_fully_vaccinated,vaccine_used,population,population_density,gdp_per_capita,human_development_index
Dominican Republic,North America,2021-02-16,,,,,10847904,222.873,14600.861,0.756
Ecuador,South America,2021-02-10,,,,Pfizer/BioNTech,17643060,66.939,10581.936,0.759
Ecuador,South America,2021-02-11,,,,Pfizer/BioNTech,17643060,66.939,10581.936,0.759
Ecuador,South America,2021-02-12,,,,Pfizer/BioNTech,17643060,66.939,10581.936,0.759
Ecuador,South America,2021-02-13,,,,Pfizer/BioNTech,17643060,66.939,10581.936,0.759
Ecuador,South America,2021-02-14,,,,Pfizer/BioNTech,17643060,66.939,10581.936,0.759
Ecuador,South America,2021-02-15,,,,Pfizer/BioNTech,17643060,66.939,10581.936,0.759
Ecuador,South America,2021-02-16,,,,Pfizer/BioNTech,17643060,66.939,10581.936,0.759
Egypt,Africa,2021-02-10,,,,Sinopharm/Beijing,102334403,97.999,10550.206,0.707
Egypt,Africa,2021-02-11,,,,Sinopharm/Beijing,102334403,97.999,10550.206,0.707
Egypt,Africa,2021-02-12,,,,Sinopharm/Beijing,102334403,97.999,10550.206,0.707
Egypt,Africa,2021-02-13,,,,Sinopharm/Beijing,102334403,97.999,10550.206,0.707
Egypt,Africa,2021-02-14,,,,Sinopharm/Beijing,102334403,97.999,10550.206,0.707
Egypt,Africa,2021-02-15,,,,Sinopharm/Beijing,102334403,97.999,10550.206,0.707
Egypt,Africa,2021-02-16,,,,Sinopharm/Beijing,102334403,97.999,10550.206,0.707
El Salvador,North America,2021-02-10,,,,,6486201,307.811,7292.458,0.673
El Salvador,North America,2021-02-11,,,,,6486201,307.811,7292.458,0.673
El Salvador,North America,2021-02-12,,,,,6486201,307.811,7292.458,0.673
El Salvador,North America,2021-02-13,,,,,6486201,307.811,7292.458,0.673
El Salvador,North America,2021-02-14,,,,,6486201,307.811,7292.458,0.673
El Salvador,North America,2021-02-15,,,,,6486201,307.811,7292.458,0.673
El Salvador,North America,2021-02-16,,,,,6486201,307.811,7292.458,0.673
Equatorial Guinea,Africa,2021-02-10,,,,,1402985,45.194,22604.873,0.592
Equatorial Guinea,Africa,2021-02-11,,,,,1402985,45.194,22604.873,0.592
Equatorial Guinea,Africa,2021-02-12,,,,,1402985,45.194,22604.873,0.592
Equatorial Guinea,Africa,2021-02-13,,,,,1402985,45.194,22604.873,0.592
Equatorial Guinea,Africa,2021-02-14,,,,,1402985,45.194,22604.873,0.592
Equatorial Guinea,Africa,2021-02-15,,,,,1402985,45.194,22604.873,0.592
Equatorial Guinea,Africa,2021-02-16,,,,,1402985,45.194,22604.873,0.592
Eritrea,Africa,2021-02-10,,,,,3546427,44.304,1510.459,0.459
Eritrea,Africa,2021-02-11,,,,,3546427,44.304,1510.459,0.459
Eritrea,Africa,2021-02-12,,,,,3546427,44.304,1510.459,0.459
Eritrea,Africa,2021-02-13,,,,,3546427,44.304,1510.459,0.459
Eritrea,Africa,2021-02-14,,,,,3546427,44.304,1510.459,0.459
