country,continent,date,new_vaccinations,total_vaccinations,people_fully_vaccinated,vaccine_used,population,population_density,gdp_per_capita,human_development_index
Belgium,Europe,2021-02-10,22334,507439,150197,Moderna,11589616,375.564,42658.576,0.931
Belgium,Europe,2021-02-11,29762,537201,173168,Moderna,11589616,375.564,42658.576,0.931
Belgium,Europe,2021-02-12,25107,562308,193302,Moderna,11589616,375.564,42658.576,0.931
Belgium,Europe,2021-02-13,5290,567598,198296,Moderna,11589616,375.564,42658.576,0.931
Belgium,Europe,2021-02-14,1490,569088,199733,Moderna,11589616,375.564,42658.576,0.931
Belgium,Europe,2021-02-15,4686,573774,203755,Moderna,11589616,375.564,42658.576,0.931
Belgium,Europe,2021-02-16,,,,Moderna,11589616,375.564,42658.576,0.931
Belize,North America,2021-02-10,,,,,397621,16.426,7824.362,0.716
Belize,North America,2021-02-11,,,,,397621,16.426,7824.362,0.716
Belize,North America,2021-02-12,,,,,397621,16.426,7824.362,0.716
Belize,North America,2021-02-13,,,,,397621,16.426,7824.362,0.716
Belize,North America,2021-02-14,,,,,397621,16.426,7824.362,0.716
Belize,North America,2021-02-15,,,,,397621,16.426,7824.362,0.716
Belize,North America,2021-02-16,,,,,397621,16.426,7824.362,0.716
Benin,Africa,2021-02-10,,,,,12123198,99.11,2064.236,0.545
Benin,Africa,2021-02-11,,,,,12123198,99.11,2064.236,0.545
Benin,Africa,2021-02-12,,,,,12123198,99.11,2064.236,0.545
Benin,Africa,2021-02-13,,,,,12123198,99.11,2064.236,0.545
Benin,Africa,2021-02-14,,,,,12123198,99.11,2064.236,0.545
Benin,Africa,2021-02-15,,,,,12123198,99.11,2064.236,0.545
Benin,Africa,2021-02-16,,,,,12123198,99.11,2064.236,0.545
Bermuda,North America,2021-02-10,,,,Pfizer/BioNTech,62273,1308.82,50669.315,
Bermuda,North America,2021-02-11,,,,Pfizer/BioNTech,62273,1308.82,50669.315,
Bermuda,North America,2021-02-12,,,,Pfizer/BioNTech,62273,1308.82,50669.315,
Bermuda,North America,2021-02-13,,,,Pfizer/BioNTech,62273,1308.82,50669.315,
