tt1233301,Ironclad
tt0090605,Aliens
nm0257646,Jonathan English
nm0000299,Michael Biehn
nm0000116,James Cameron
nm9696871,Brian Cox
nm0001343,Carrie Henn
nm0700856,James Purefoy
nm0544718,Kate Mara
nm0000244,Sigourney Weaver
