title,year,genres,duration,directors,actors,rating
tt0090605,1986,"Action, Adventure, Sci-Fi",137,nm0000116,"nm0000244, nm0001343, nm0000299",8.3
tt1233301,2011,"Action, Drama, History",121,nm0257646,"nm0700856, nm9696871, nm0544718",6.1
